N,P,K,temperature,humidity,ph,rainfall,soil,crop_label
72,40,38,20.41,82.21,7.59,245.15,clay,rice
36,65,80,18.29,16.68,6.05,74.87,loamy,soybean
59,69,80,19.08,17.87,8.17,69.41,loamy,soybean
0,5,36,24.35,90.89,6.15,105.53,sandy loam,guinea_corn
53,65,76,20.19,16.42,6.72,77.34,loamy,soybean
108,23,51,26.84,83.85,6.11,40.23,loamy clay ,pepper
13,60,25,17.14,20.61,5.69,128.26,clay,beans
79,59,17,20.38,63.74,6.64,108.51,sandy loam,maize
8,16,6,12.23,90.26,7.11,108.42,loamy,orange
37,56,25,22.06,19.6,5.77,126.73,clay,beans
105,30,50,25.3,81.78,6.38,57.04,loamy clay ,pepper
114,30,51,29.25,90.07,6.07,25.93,sandy loam,tomatoes
24,55,78,17.3,15.15,6.65,75.58,loamy,soybean
7,16,9,18.88,92.04,7.81,114.67,loamy,orange
14,48,21,29.25,84.8,6.99,53.43,loamy,yam
89,22,52,24.9,86.11,6.22,53.15,loamy clay ,pepper
12,61,19,19.33,24.14,5.66,68.51,clay,beans
39,30,38,20.13,87.6,6.97,108.07,sandy loam,guinea_corn
104,17,46,25.71,80.23,6.19,43.09,loamy clay ,pepper
79,45,20,23.81,59.25,5.72,89.96,sandy loam,maize
32,13,42,23.5,92.98,5.79,106.62,sandy loam,guinea_corn
95,21,47,27.93,93.56,6.43,20.66,sandy loam,tomatoes
46,76,77,18.24,19.69,6.97,83.75,loamy,soybean
23,59,19,21.99,24.87,5.85,129.57,clay,beans
19,35,24,27.11,83.64,6.88,49.12,loamy,yam
91,7,52,25.08,83.46,6.41,56.4,loamy clay ,pepper
25,63,20,15.79,21.15,5.5,95.17,clay,beans
4,40,21,28.8,80.46,6.73,44.3,loamy,yam
60,59,22,31.87,66.74,7.19,74.22,sandy loam,cassava
42,74,83,19.26,14.28,7.55,65.78,loamy,soybean
77,52,17,24.86,65.74,5.71,75.82,sandy loam,maize
30,44,16,29.73,82.89,6.44,50.92,loamy,yam
89,45,36,21.33,80.47,6.44,185.5,clay,rice
0,18,14,29.77,92.01,7.21,114.42,loamy,orange
99,36,20,20.58,65.35,6.67,78.35,sandy loam,maize
40,68,17,34.13,65.15,7.73,70.41,sandy loam,cassava
104,23,47,26.98,86.7,6.77,42.91,loamy clay ,pepper
0,23,15,22.57,93.37,7.6,109.86,loamy,orange
53,74,15,29.43,64.94,7.52,72.18,sandy loam,cassava
31,58,15,27.11,84.97,7.12,51.53,loamy,yam
71,46,40,20.28,82.12,7.24,191.95,clay,rice
23,62,85,18.97,19.52,8.49,80.71,loamy,soybean
27,40,24,27.84,90.0,7.06,52.85,loamy,yam
3,26,39,24.38,91.19,7.08,103.6,sandy loam,guinea_corn
119,25,51,26.47,80.92,6.28,53.66,loamy clay ,pepper
12,6,8,30.85,92.87,6.39,107.41,loamy,orange
43,68,81,17.48,17.93,6.76,78.92,loamy,soybean
43,68,81,17.48,17.93,6.76,78.92,loamy,soybean
94,50,19,23.3,73.63,5.87,97.59,sandy loam,maize
31,5,14,17.67,91.7,6.58,110.69,loamy,orange
25,65,21,33.86,68.59,6.88,69.24,sandy loam,cassava
27,56,20,19.26,20.51,5.54,94.95,clay,beans
44,77,21,32.64,61.3,7.33,61.84,sandy loam,cassava
40,78,20,19.19,20.83,5.67,80.15,clay,beans
60,49,44,20.78,84.5,6.24,240.08,clay,rice
84,44,21,21.87,61.91,5.85,107.27,sandy loam,maize
109,10,53,26.82,87.83,6.55,46.06,loamy clay ,pepper
5,29,44,21.02,93.06,5.58,104.78,sandy loam,guinea_corn
25,21,11,32.24,90.15,6.46,104.71,loamy,orange
95,12,51,25.76,84.17,6.68,44.22,loamy clay ,pepper
80,16,46,25.5,81.4,6.94,48.48,loamy clay ,pepper
60,48,39,24.28,80.3,7.04,231.09,clay,rice
14,5,36,24.93,85.19,5.83,104.77,sandy loam,guinea_corn
76,40,43,25.16,83.12,5.07,231.38,clay,rice
37,6,13,26.03,91.51,7.51,101.28,loamy,orange
22,80,20,23.01,18.87,5.67,100.12,clay,beans
30,44,16,29.73,82.89,6.44,50.92,loamy,yam
110,21,54,26.74,87.82,6.75,47.46,loamy clay ,pepper
23,39,22,29.26,81.98,6.86,42.02,loamy,yam
31,53,16,28.74,85.82,6.45,48.55,loamy,yam
33,77,21,30.33,65.63,7.01,71.65,sandy loam,cassava
83,45,21,18.83,58.75,5.72,79.75,sandy loam,maize
26,27,10,28.07,92.91,6.08,114.13,loamy,orange
39,17,45,18.1,90.42,6.92,104.88,sandy loam,guinea_corn
85,9,53,28.21,92.87,6.45,28.79,sandy loam,tomatoes
32,60,83,19.69,19.44,8.83,91.76,loamy,soybean
22,23,44,20.13,89.32,6.14,107.34,sandy loam,guinea_corn
31,40,22,29.41,86.16,6.37,53.35,loamy,yam
40,78,20,19.19,20.83,5.67,80.15,clay,beans
40,30,35,20.89,91.08,6.27,104.44,sandy loam,guinea_corn
66,60,38,22.09,83.47,6.37,231.74,clay,rice
7,79,23,19.64,19.69,5.82,96.66,clay,beans
82,25,51,24.31,87.47,6.07,48.11,loamy clay ,pepper
1,62,23,15.44,18.37,5.61,139.03,clay,beans
22,70,19,18.24,21.08,5.52,69.45,clay,beans
23,59,25,27.83,88.73,6.32,56.69,loamy,yam
99,50,15,18.15,71.09,5.57,88.08,sandy loam,maize
113,20,48,27.47,94.88,6.44,27.28,sandy loam,tomatoes
30,20,38,22.6,93.16,7.06,110.09,sandy loam,guinea_corn
72,60,25,18.53,69.03,5.77,88.1,sandy loam,maize
108,23,51,26.84,83.85,6.11,40.23,loamy clay ,pepper
28,46,16,29.01,84.96,6.66,45.91,loamy,yam
38,60,76,18.65,17.81,8.87,77.93,loamy,soybean
35,63,76,17.82,17.61,6.71,90.82,loamy,soybean
68,57,43,26.09,80.38,5.71,182.9,clay,rice
104,17,46,25.71,80.23,6.19,43.09,loamy clay ,pepper
23,59,19,21.99,24.87,5.85,129.57,clay,beans
91,13,47,29.11,92.44,6.14,27.96,sandy loam,tomatoes
104,23,47,26.98,86.7,6.77,42.91,loamy clay ,pepper
60,68,83,19.12,18.43,6.62,85.53,loamy,soybean
84,29,49,29.94,93.91,6.25,20.39,sandy loam,tomatoes
82,23,49,26.81,87.22,6.87,51.7,loamy clay ,pepper
85,21,47,29.87,90.61,6.19,24.7,sandy loam,tomatoes
87,21,52,27.35,94.29,6.07,27.21,sandy loam,tomatoes
90,16,45,24.92,80.62,6.29,50.56,loamy clay ,pepper
3,27,44,24.57,92.03,6.59,110.96,sandy loam,guinea_corn
18,12,8,12.59,91.82,6.21,119.39,loamy,orange
118,18,52,28.05,90.83,6.56,20.76,sandy loam,tomatoes
118,18,52,28.05,90.83,6.56,20.76,sandy loam,tomatoes
80,26,55,24.53,88.99,6.14,49.12,loamy clay ,pepper
21,29,12,22.3,92.16,6.44,117.37,loamy,orange
37,65,16,22.84,18.97,5.68,63.59,clay,beans
100,10,53,24.54,84.61,6.21,42.01,loamy clay ,pepper
14,57,15,29.88,83.15,6.62,40.12,loamy,yam
29,22,40,23.63,89.73,6.15,107.68,sandy loam,guinea_corn
119,19,55,25.19,83.45,6.82,46.87,loamy clay ,pepper
32,79,15,23.91,20.75,5.71,81.6,clay,beans
39,58,85,17.89,15.41,6.0,68.55,loamy,soybean
114,27,48,27.82,93.04,6.53,26.32,sandy loam,tomatoes
27,80,15,19.07,21.21,5.79,86.22,clay,beans
4,13,6,15.63,94.26,7.56,101.47,loamy,orange
23,39,22,29.26,81.98,6.86,42.02,loamy,yam
21,21,38,22.55,89.33,6.33,104.9,sandy loam,guinea_corn
22,64,82,19.49,17.17,6.47,87.51,loamy,soybean
28,72,84,18.73,19.18,6.48,71.58,loamy,soybean
51,72,75,18.89,14.99,7.1,80.11,loamy,soybean
99,6,46,28.61,94.22,6.4,28.99,sandy loam,tomatoes
28,7,9,34.59,92.13,6.73,115.57,loamy,orange
36,24,41,24.94,94.26,7.01,103.88,sandy loam,guinea_corn
96,18,50,25.33,84.31,6.9,41.53,loamy clay ,pepper
89,54,38,24.52,83.54,6.69,230.45,clay,rice
12,78,23,16.07,18.72,6.0,88.07,clay,beans
95,16,46,27.08,90.14,6.75,24.45,sandy loam,tomatoes
82,43,38,23.29,81.43,5.11,242.32,clay,rice
53,74,15,29.43,64.94,7.52,72.18,sandy loam,cassava
57,56,78,17.34,18.76,6.86,67.95,loamy,soybean
4,20,41,24.27,93.8,6.54,104.54,sandy loam,guinea_corn
4,19,43,18.07,93.15,5.78,106.36,sandy loam,guinea_corn
58,61,15,30.95,64.23,7.4,62.79,sandy loam,cassava
107,5,52,26.66,89.98,6.88,57.41,loamy clay ,pepper
88,46,42,22.68,83.46,6.6,194.27,clay,rice
30,65,82,20.71,15.28,6.11,76.78,loamy,soybean
33,80,22,28.57,65.72,6.59,70.09,sandy loam,cassava
7,56,18,18.31,24.33,5.7,76.14,clay,beans
20,8,12,25.3,94.96,7.26,117.97,loamy,orange
28,7,9,34.59,92.13,6.73,115.57,loamy,orange
20,20,10,11.87,93.68,6.98,106.06,loamy,orange
82,23,49,26.81,87.22,6.87,51.7,loamy clay ,pepper
29,16,36,19.81,88.93,5.74,102.86,sandy loam,guinea_corn
5,13,37,22.34,89.79,5.65,103.32,sandy loam,guinea_corn
36,38,15,28.36,87.6,6.32,58.0,loamy,yam
10,5,5,21.21,91.35,7.82,112.98,loamy,orange
1,62,23,15.44,18.37,5.61,139.03,clay,beans
37,11,36,24.25,85.56,6.71,106.92,sandy loam,guinea_corn
7,20,12,16.53,94.77,6.48,110.04,loamy,orange
32,57,18,15.54,23.76,5.7,107.39,clay,beans
5,45,21,28.36,88.01,6.49,43.05,loamy,yam
9,8,40,22.49,89.92,6.55,111.66,sandy loam,guinea_corn
29,63,17,30.03,67.89,7.26,66.47,sandy loam,cassava
83,58,45,25.76,83.52,5.88,245.66,clay,rice
54,62,80,17.49,16.39,7.49,79.46,loamy,soybean
42,67,77,18.99,15.94,6.11,78.71,loamy,soybean
84,25,52,24.37,81.25,6.13,44.21,loamy clay ,pepper
14,22,9,17.25,91.14,6.54,112.51,loamy,orange
29,16,36,19.81,88.93,5.74,102.86,sandy loam,guinea_corn
19,55,20,27.43,87.81,7.19,54.73,loamy,yam
81,53,42,23.68,81.04,5.18,233.7,clay,rice
31,26,9,11.7,93.26,7.57,103.2,loamy,orange
120,24,47,26.99,89.41,6.26,58.55,loamy clay ,pepper
13,57,25,28.3,86.21,6.86,50.47,loamy,yam
9,8,40,22.49,89.92,6.55,111.66,sandy loam,guinea_corn
9,69,20,19.31,23.96,5.59,129.34,clay,beans
101,17,55,24.37,87.13,6.45,44.64,loamy clay ,pepper
47,63,16,27.44,67.1,6.66,72.51,sandy loam,cassava
29,22,40,23.63,89.73,6.15,107.68,sandy loam,guinea_corn
57,58,77,18.73,17.58,7.98,81.2,loamy,soybean
39,25,36,18.9,95.0,5.57,107.61,sandy loam,guinea_corn
27,30,5,32.72,90.55,7.66,113.33,loamy,orange
25,68,77,20.09,15.11,7.7,85.75,loamy,soybean
61,38,20,18.48,62.7,5.97,65.44,sandy loam,maize
117,19,55,28.8,91.78,6.12,25.16,sandy loam,tomatoes
43,79,79,19.41,18.98,7.81,80.25,loamy,soybean
24,67,22,20.12,22.9,5.62,104.63,clay,beans
81,18,50,26.44,80.92,6.51,47.82,loamy clay ,pepper
19,17,39,24.72,85.56,6.73,111.28,sandy loam,guinea_corn
20,68,17,30.12,60.12,6.58,71.73,sandy loam,cassava
29,11,5,23.13,91.95,7.64,104.42,loamy,orange
120,23,55,27.84,91.61,6.73,26.48,sandy loam,tomatoes
98,8,51,26.18,86.52,6.26,49.43,loamy clay ,pepper
9,25,41,24.82,91.91,5.97,109.29,sandy loam,guinea_corn
61,52,41,24.98,83.89,6.88,204.8,clay,rice
14,22,9,17.25,91.14,6.54,112.51,loamy,orange
90,16,45,24.92,80.62,6.29,50.56,loamy clay ,pepper
87,21,52,27.35,94.29,6.07,27.21,sandy loam,tomatoes
15,14,8,10.01,90.22,6.22,119.39,loamy,orange
6,18,37,19.66,89.94,5.94,108.05,sandy loam,guinea_corn
100,10,53,24.54,84.61,6.21,42.01,loamy clay ,pepper
95,16,55,25.27,87.55,6.61,40.13,loamy clay ,pepper
58,75,25,25.26,61.37,7.26,68.65,sandy loam,cassava
5,13,37,22.34,89.79,5.65,103.32,sandy loam,guinea_corn
85,22,53,25.97,89.77,6.85,59.46,loamy clay ,pepper
20,8,12,25.3,94.96,7.26,117.97,loamy,orange
40,9,41,24.38,85.4,5.78,106.13,sandy loam,guinea_corn
77,57,21,24.93,73.8,6.55,79.74,sandy loam,maize
82,23,49,26.81,87.22,6.87,51.7,loamy clay ,pepper
81,6,55,24.89,85.87,6.11,51.71,loamy clay ,pepper
34,60,23,20.13,24.97,5.66,100.05,clay,beans
84,21,55,28.47,94.79,6.49,21.08,sandy loam,tomatoes
2,21,44,18.92,87.31,6.57,102.8,sandy loam,guinea_corn
98,22,47,29.07,91.92,6.34,28.84,sandy loam,tomatoes
23,30,44,20.94,85.43,6.12,103.03,sandy loam,guinea_corn
32,66,17,34.95,65.27,7.16,70.14,sandy loam,cassava
60,43,44,21.02,82.95,7.42,298.4,clay,rice
10,5,5,21.21,91.35,7.82,112.98,loamy,orange
90,46,42,23.98,81.45,7.5,250.08,clay,rice
24,80,22,16.71,19.18,5.64,96.77,clay,beans
39,9,15,25.35,91.81,7.99,116.76,loamy,orange
6,47,18,29.16,80.28,6.72,40.17,loamy,yam
11,78,22,23.9,22.74,5.94,112.66,clay,beans
60,54,19,18.75,62.5,6.42,70.23,sandy loam,maize
111,6,53,26.49,88.59,6.31,46.06,loamy clay ,pepper
27,64,15,20.16,24.84,5.51,138.24,clay,beans
89,9,47,29.47,90.77,6.67,28.75,sandy loam,tomatoes
34,60,16,31.36,64.25,7.32,63.86,sandy loam,cassava
23,30,44,20.94,85.43,6.12,103.03,sandy loam,guinea_corn
84,7,51,26.82,87.66,6.4,55.74,loamy clay ,pepper
66,53,41,25.08,80.52,7.78,257.0,clay,rice
95,16,46,27.08,90.14,6.75,24.45,sandy loam,tomatoes
0,65,15,23.46,23.22,5.65,95.84,clay,beans
109,12,48,29.46,92.13,6.71,20.76,sandy loam,tomatoes
120,24,47,26.99,89.41,6.26,58.55,loamy clay ,pepper
5,23,15,25.67,92.05,7.41,112.54,loamy,orange
114,8,52,29.34,94.55,6.42,28.23,sandy loam,tomatoes
60,44,23,24.79,70.05,5.72,76.73,sandy loam,maize
71,46,40,20.28,82.12,7.24,191.95,clay,rice
16,10,41,24.77,85.64,6.74,105.76,sandy loam,guinea_corn
87,35,25,21.45,63.16,6.18,65.89,sandy loam,maize
6,8,11,24.36,92.4,6.6,119.69,loamy,orange
98,25,52,25.28,83.15,6.22,49.29,loamy clay ,pepper
37,64,22,17.48,18.83,5.95,121.94,clay,beans
66,44,20,19.08,69.02,6.74,80.73,sandy loam,maize
34,71,79,17.93,15.86,7.73,74.64,loamy,soybean
98,35,18,23.8,74.83,6.25,91.76,sandy loam,maize
39,9,15,25.35,91.81,7.99,116.76,loamy,orange
13,5,8,23.85,90.11,7.47,103.92,loamy,orange
9,8,15,14.34,94.36,7.99,110.22,loamy,orange
20,23,11,31.85,90.12,6.41,109.95,loamy,orange
36,43,22,27.83,87.17,6.39,58.37,loamy,yam
19,39,17,29.28,81.8,6.89,44.47,loamy,yam
32,13,42,23.5,92.98,5.79,106.62,sandy loam,guinea_corn
31,25,12,18.05,90.04,7.02,111.78,loamy,orange
9,77,17,20.12,24.45,5.78,106.16,clay,beans
34,29,8,31.88,91.15,6.45,105.34,loamy,orange
97,59,43,26.36,84.04,6.29,271.36,clay,rice
5,18,14,33.11,93.48,7.43,119.17,loamy,orange
9,8,40,22.49,89.92,6.55,111.66,sandy loam,guinea_corn
3,9,45,23.89,89.62,6.54,104.62,sandy loam,guinea_corn
93,56,42,23.86,82.23,7.38,195.09,clay,rice
36,43,22,27.83,87.17,6.39,58.37,loamy,yam
114,27,48,27.82,93.04,6.53,26.32,sandy loam,tomatoes
101,17,47,29.49,94.73,6.19,26.31,sandy loam,tomatoes
120,8,46,29.56,90.71,6.73,28.37,sandy loam,tomatoes
28,35,22,29.53,86.73,7.16,59.87,loamy,yam
4,40,21,28.8,80.46,6.73,44.3,loamy,yam
98,8,51,26.18,86.52,6.26,49.43,loamy clay ,pepper
21,38,21,29.76,86.45,6.64,37.55,loamy,yam
48,62,15,25.37,66.64,7.54,65.82,sandy loam,cassava
92,7,48,26.28,86.63,6.96,54.39,loamy clay ,pepper
66,44,20,19.08,69.02,6.74,80.73,sandy loam,maize
74,58,18,20.04,56.36,6.73,109.02,sandy loam,maize
88,29,51,24.72,88.95,6.1,48.46,loamy clay ,pepper
28,68,19,34.64,61.39,7.7,72.43,sandy loam,cassava
89,54,38,24.52,83.54,6.69,230.45,clay,rice
104,23,47,26.98,86.7,6.77,42.91,loamy clay ,pepper
18,79,20,20.28,23.24,5.88,139.75,clay,beans
8,16,6,12.23,90.26,7.11,108.42,loamy,orange
14,25,40,20.07,90.98,6.41,103.71,sandy loam,guinea_corn
4,14,41,19.85,89.81,6.43,102.82,sandy loam,guinea_corn
57,68,81,17.17,17.3,8.08,72.79,loamy,soybean
39,71,84,20.28,16.4,8.14,82.52,loamy,soybean
40,18,43,19.39,86.79,5.77,109.91,sandy loam,guinea_corn
5,18,14,33.11,93.48,7.43,119.17,loamy,orange
19,17,39,24.72,85.56,6.73,111.28,sandy loam,guinea_corn
91,24,55,26.27,83.09,6.26,46.77,loamy clay ,pepper
111,6,53,26.49,88.59,6.31,46.06,loamy clay ,pepper
34,21,42,18.76,89.93,6.65,111.02,sandy loam,guinea_corn
27,76,83,19.13,14.92,6.29,89.62,loamy,soybean
14,8,43,21.93,94.46,7.05,111.72,sandy loam,guinea_corn
21,6,41,24.88,89.4,7.09,107.2,sandy loam,guinea_corn
17,52,17,27.88,86.45,6.36,44.64,loamy,yam
27,63,19,20.93,21.19,5.56,133.19,clay,beans
10,5,42,20.24,91.09,6.89,109.25,sandy loam,guinea_corn
113,30,50,26.04,83.99,6.28,43.88,loamy clay ,pepper
57,68,81,17.17,17.3,8.08,72.79,loamy,soybean
81,49,20,18.04,60.61,5.51,104.23,sandy loam,maize
89,60,19,25.19,66.69,5.91,78.07,sandy loam,maize
47,79,78,17.48,14.76,6.61,65.11,loamy,soybean
98,7,45,27.79,92.51,6.16,26.85,sandy loam,tomatoes
16,15,42,19.68,89.09,6.89,108.55,sandy loam,guinea_corn
115,18,53,29.17,94.2,6.01,22.07,sandy loam,tomatoes
98,26,49,27.29,90.53,6.13,23.5,sandy loam,tomatoes
41,69,82,20.02,16.63,6.72,68.98,loamy,soybean
114,8,52,29.34,94.55,6.42,28.23,sandy loam,tomatoes
20,40,15,29.57,88.08,7.2,45.04,loamy,yam
37,18,12,10.27,90.19,7.4,106.7,loamy,orange
21,78,19,27.16,66.76,6.92,69.85,sandy loam,cassava
18,14,11,28.05,90.01,6.55,117.13,loamy,orange
34,71,79,17.93,15.86,7.73,74.64,loamy,soybean
101,17,47,29.49,94.73,6.19,26.31,sandy loam,tomatoes
44,74,85,20.19,19.64,7.15,78.26,loamy,soybean
20,7,45,18.91,89.24,6.08,112.48,sandy loam,guinea_corn
119,9,50,26.75,83.92,6.25,40.79,loamy clay ,pepper
37,18,12,10.27,90.19,7.4,106.7,loamy,orange
20,79,77,18.55,16.03,7.65,76.33,loamy,soybean
62,48,20,21.7,60.47,6.71,95.71,sandy loam,maize
49,76,18,27.05,67.7,7.39,60.47,sandy loam,cassava
67,45,38,22.73,82.17,7.3,260.89,clay,rice
34,47,19,27.31,85.45,6.57,53.15,loamy,yam
16,7,8,22.79,90.61,6.42,116.51,loamy,orange
87,6,45,29.83,90.79,6.4,22.84,sandy loam,tomatoes
87,60,23,20.27,63.91,6.44,62.5,sandy loam,maize
98,25,52,25.28,83.15,6.22,49.29,loamy clay ,pepper
3,67,24,17.0,19.91,5.52,103.29,clay,beans
30,20,38,22.6,93.16,7.06,110.09,sandy loam,guinea_corn
39,71,84,20.28,16.4,8.14,82.52,loamy,soybean
114,8,50,24.75,88.31,6.58,57.96,loamy clay ,pepper
21,72,17,31.52,66.56,7.58,61.71,sandy loam,cassava
21,63,17,15.77,19.23,5.98,108.34,clay,beans
20,41,20,29.27,89.49,7.07,50.92,loamy,yam
95,21,47,27.93,93.56,6.43,20.66,sandy loam,tomatoes
32,18,13,13.84,91.75,6.04,107.99,loamy,orange
67,51,24,23.5,61.32,5.58,64.78,sandy loam,maize
13,22,5,19.67,90.5,7.76,100.17,loamy,orange
100,18,52,26.2,80.38,6.88,56.48,loamy clay ,pepper
29,70,15,30.33,63.55,6.87,74.17,sandy loam,cassava
88,55,45,24.64,80.41,7.73,253.72,clay,rice
114,8,50,24.75,88.31,6.58,57.96,loamy clay ,pepper
11,71,24,21.14,22.72,5.61,141.61,clay,beans
49,55,78,18.66,16.18,7.86,81.71,loamy,soybean
90,23,54,28.56,90.46,6.16,27.27,sandy loam,tomatoes
85,9,53,28.21,92.87,6.45,28.79,sandy loam,tomatoes
100,18,52,26.2,80.38,6.88,56.48,loamy clay ,pepper
36,38,15,28.36,87.6,6.32,58.0,loamy,yam
14,48,21,29.25,84.8,6.99,53.43,loamy,yam
24,56,85,18.2,17.41,6.55,80.64,loamy,soybean
19,7,10,14.78,91.22,6.12,100.2,loamy,orange
97,22,50,26.26,86.15,6.77,58.98,loamy clay ,pepper
3,9,45,23.89,89.62,6.54,104.62,sandy loam,guinea_corn
93,53,38,26.93,81.91,7.07,290.68,clay,rice
9,10,10,22.36,93.52,6.01,101.52,loamy,orange
11,46,24,27.65,89.81,6.46,56.53,loamy,yam
85,58,41,21.77,80.32,7.04,226.66,clay,rice
29,68,23,24.16,19.28,5.83,116.73,clay,beans
2,24,38,24.56,91.64,5.92,111.97,sandy loam,guinea_corn
52,73,79,17.26,18.75,7.84,94.0,loamy,soybean
14,8,43,21.93,94.46,7.05,111.72,sandy loam,guinea_corn
20,27,41,20.51,92.52,5.7,110.58,sandy loam,guinea_corn
69,37,42,23.06,83.37,7.07,251.05,clay,rice
53,73,77,19.71,18.1,7.33,73.64,loamy,soybean
23,72,84,19.02,17.13,6.92,79.93,loamy,soybean
15,6,41,19.01,88.84,6.9,108.68,sandy loam,guinea_corn
26,15,6,17.22,94.79,6.91,108.01,loamy,orange
9,57,24,29.89,89.72,7.17,42.99,loamy,yam
14,8,43,21.93,94.46,7.05,111.72,sandy loam,guinea_corn
20,79,77,18.55,16.03,7.65,76.33,loamy,soybean
60,43,44,21.02,82.95,7.42,298.4,clay,rice
17,16,14,16.4,92.18,6.63,102.94,loamy,orange
67,43,39,26.04,84.97,6.0,186.75,clay,rice
4,13,6,15.63,94.26,7.56,101.47,loamy,orange
1,48,24,29.35,85.6,6.23,59.04,loamy,yam
22,60,85,18.84,14.74,6.81,94.78,loamy,soybean
95,26,45,29.92,94.56,6.12,28.16,sandy loam,tomatoes
21,63,22,25.1,67.73,6.86,74.62,sandy loam,cassava
63,42,21,23.26,72.33,5.8,67.1,sandy loam,maize
52,60,79,19.45,18.23,8.38,75.63,loamy,soybean
14,8,43,21.93,94.46,7.05,111.72,sandy loam,guinea_corn
6,18,37,19.66,89.94,5.94,108.05,sandy loam,guinea_corn
57,58,77,18.73,17.58,7.98,81.2,loamy,soybean
27,76,83,19.13,14.92,6.29,89.62,loamy,soybean
25,70,16,19.63,18.91,5.76,106.36,clay,beans
9,16,39,18.41,91.12,6.1,105.18,sandy loam,guinea_corn
25,17,40,18.91,87.75,6.61,111.28,sandy loam,guinea_corn
10,5,42,20.24,91.09,6.89,109.25,sandy loam,guinea_corn
22,78,76,17.85,19.09,8.62,76.32,loamy,soybean
74,35,40,26.49,80.16,6.98,242.86,clay,rice
22,64,82,19.49,17.17,6.47,87.51,loamy,soybean
95,12,46,26.22,81.01,6.32,54.65,loamy clay ,pepper
90,16,45,24.92,80.62,6.29,50.56,loamy clay ,pepper
91,24,55,26.27,83.09,6.26,46.77,loamy clay ,pepper
115,12,52,27.51,94.96,6.69,21.02,sandy loam,tomatoes
37,18,12,10.27,90.19,7.4,106.7,loamy,orange
112,25,51,25.05,85.57,6.93,56.72,loamy clay ,pepper
24,44,17,29.86,80.03,6.67,50.66,loamy,yam
22,72,85,18.87,15.66,6.39,88.51,loamy,soybean
8,45,18,27.93,85.42,7.01,43.25,loamy,yam
81,25,49,29.87,93.25,6.08,26.26,sandy loam,tomatoes
19,17,39,24.72,85.56,6.73,111.28,sandy loam,guinea_corn
47,80,77,17.18,16.43,7.56,72.85,loamy,soybean
95,16,46,27.08,90.14,6.75,24.45,sandy loam,tomatoes
25,76,17,31.74,68.64,7.24,62.31,sandy loam,cassava
24,30,11,32.4,94.52,6.6,113.25,loamy,orange
60,44,23,24.79,70.05,5.72,76.73,sandy loam,maize
33,15,7,15.83,91.68,7.65,109.76,loamy,orange
12,78,23,16.07,18.72,6.0,88.07,clay,beans
35,69,23,16.79,24.97,5.58,75.45,clay,beans
30,44,16,29.73,82.89,6.44,50.92,loamy,yam
13,69,19,17.31,20.02,5.86,115.2,clay,beans
55,67,16,34.37,69.69,6.6,70.27,sandy loam,cassava
91,7,52,25.08,83.46,6.41,56.4,loamy clay ,pepper
60,55,45,21.41,83.33,5.94,287.58,clay,rice
37,23,12,31.53,90.51,6.4,113.12,loamy,orange
37,50,23,29.65,88.49,6.53,56.02,loamy,yam
83,22,54,25.9,81.97,6.28,54.5,loamy clay ,pepper
104,25,55,29.81,90.37,6.12,22.69,sandy loam,tomatoes
4,41,20,28.15,83.8,6.65,37.45,loamy,yam
27,76,83,19.13,14.92,6.29,89.62,loamy,soybean
74,56,22,18.28,66.66,6.83,80.98,sandy loam,maize
19,39,17,29.28,81.8,6.89,44.47,loamy,yam
98,7,45,27.79,92.51,6.16,26.85,sandy loam,tomatoes
23,5,44,21.21,94.26,7.16,107.57,sandy loam,guinea_corn
73,58,21,19.97,57.68,6.6,60.65,sandy loam,maize
0,65,15,23.46,23.22,5.65,95.84,clay,beans
61,60,15,24.88,68.74,6.27,91.26,sandy loam,maize
110,25,54,28.91,90.78,6.43,23.44,sandy loam,tomatoes
63,43,19,18.52,55.53,6.64,90.99,sandy loam,maize
6,30,40,22.77,91.45,6.36,106.97,sandy loam,guinea_corn
40,22,6,24.54,91.91,6.49,115.98,loamy,orange
93,56,36,24.01,82.06,6.98,185.28,clay,rice
34,29,8,31.88,91.15,6.45,105.34,loamy,orange
89,45,36,21.33,80.47,6.44,185.5,clay,rice
27,72,23,19.93,21.8,5.96,64.03,clay,beans
2,24,38,24.56,91.64,5.92,111.97,sandy loam,guinea_corn
118,18,52,28.05,90.83,6.56,20.76,sandy loam,tomatoes
114,21,55,25.44,87.94,6.47,57.52,loamy clay ,pepper
0,55,22,22.99,20.58,5.92,143.86,clay,beans
72,45,35,25.43,82.95,5.76,195.36,clay,rice
31,58,15,27.11,84.97,7.12,51.53,loamy,yam
80,18,51,28.05,91.82,6.71,20.77,sandy loam,tomatoes
33,15,7,15.83,91.68,7.65,109.76,loamy,orange
117,27,48,26.53,82.39,6.84,54.31,loamy clay ,pepper
78,37,22,25.34,63.32,6.33,74.52,sandy loam,maize
22,17,5,24.12,90.72,6.95,102.84,loamy,orange
49,55,78,18.66,16.18,7.86,81.71,loamy,soybean
83,22,54,25.9,81.97,6.28,54.5,loamy clay ,pepper
104,25,51,28.96,93.88,6.47,23.56,sandy loam,tomatoes
114,27,48,27.82,93.04,6.53,26.32,sandy loam,tomatoes
15,9,11,11.55,94.15,7.91,108.83,loamy,orange
81,41,38,22.68,83.73,7.52,200.91,clay,rice
31,37,21,27.24,86.4,6.71,37.31,loamy,yam
